time,accel,dist
0,0.023560,0.000000
10,0.022705,-0.000983
20,0.023438,-0.000984
30,0.022827,-0.000990
40,0.021851,-0.001001
50,0.021484,-0.001014
60,0.022339,-0.001032
70,0.023682,-0.001053
80,0.022217,-0.001078
90,0.024536,-0.001103
100,0.023560,-0.001133
110,0.023682,-0.001160
120,0.024048,-0.001186
130,0.022095,-0.001214
140,0.022461,-0.001231
150,0.021851,-0.001246
160,0.021606,-0.001252
170,0.024414,-0.001259
180,0.022949,-0.001277
190,0.022827,-0.001284
200,0.022705,-0.001289
210,0.023193,-0.001292
220,0.023071,-0.001301
230,0.022339,-0.001305
240,0.024536,-0.001308
250,0.022461,-0.001319
260,0.022705,-0.001319
270,0.022461,-0.001319
280,0.021606,-0.001315
290,0.022217,-0.001310
300,0.021729,-0.001311
310,0.021729,-0.001307
320,0.024658,-0.001302
330,0.022949,-0.001313
340,0.022339,-0.001321
350,0.022217,-0.001321
360,0.023560,-0.001318
370,0.022583,-0.001322
380,0.023071,-0.001318
390,0.022339,-0.001318
400,0.024292,-0.001318
410,0.022949,-0.001324
420,0.024414,-0.001327
430,0.022705,-0.001333
440,0.024414,-0.001332
450,0.022583,0.000000
460,0.022827,0.000003
470,0.021362,0.000001
480,0.171997,0.050396
490,1.221924,0.259124
500,1.316772,0.502946
510,1.051758,0.677663
520,0.672241,0.877057
530,0.563843,1.105880
540,0.697388,1.301086
550,0.835327,1.561679
560,0.626099,1.850353
570,0.683350,2.173377
580,0.544922,2.500184
590,0.757080,2.822412
600,0.582642,3.157249
610,0.541504,3.540723
620,0.741211,3.926086
630,0.525269,4.332514
640,0.508545,4.860577
650,0.182495,5.256452
660,0.383301,5.831723
670,0.378906,6.314750
680,0.300293,6.819282
690,0.293457,7.329331
700,0.304932,7.862375
710,0.345947,8.386464
720,0.277222,8.940162
730,0.176758,9.474288
740,0.170898,10.044069
750,0.208130,10.597580
760,0.180786,11.166214
770,0.156494,11.758594
780,0.274902,12.342737
790,0.182373,12.941367
800,0.120605,13.533875
810,0.082153,14.133963
820,0.145874,14.746056
830,0.043823,15.348442
840,0.124390,15.959523
850,0.059082,16.578308
860,0.132324,17.190031
870,0.087158,17.815662
880,0.092529,18.431864
890,0.149048,19.055202
900,0.097046,19.677994
910,0.131836,20.309616
920,0.141968,20.932365
930,0.180786,21.561588
940,0.114380,22.188845
950,0.139282,22.818436
960,0.178101,23.447466
970,0.155640,24.082878
980,0.102051,24.711176
990,0.068237,25.338856
1000,0.022217,25.973627
1010,0.096313,26.616508
1020,-0.007080,27.250568
1030,0.051880,27.893101
1040,0.015625,28.520117
1050,-0.078735,29.169626
1060,0.118652,29.812603
1070,-0.106934,30.463264
1080,0.106445,31.109495
1090,-0.014771,31.761604
1100,0.080444,32.429665
1110,0.024292,33.083408
1120,0.083618,33.738041
1130,0.087158,34.390736
1140,0.125610,35.058506
1150,-0.004639,35.712929
1160,-0.019897,36.376266
1170,-0.012329,37.031502
1180,-0.052612,37.690838
1190,0.044800,38.348938
1200,-0.021484,39.000614
1210,0.040771,39.660542
1220,-0.032227,40.326233
1230,0.060913,40.983959
1240,0.037231,41.642017
1250,0.072998,42.299858
1260,0.081177,42.943043
1270,0.059326,43.594101
1280,0.074463,44.251190
1290,0.092407,44.906990
1300,0.064453,45.569901
1310,0.039673,46.212128
1320,0.002075,46.876404
1330,0.028198,47.520576
1340,-0.033325,48.177238
1350,0.037964,48.834095
1360,-0.064087,49.490856
1370,0.022339,50.142056
1380,0.055298,50.791267
1390,0.076660,51.455704
1400,0.121948,52.098301
1410,0.160156,52.863289
1420,0.062378,53.527843
1430,0.033813,54.179531
1440,0.090210,54.838875
1450,0.048706,55.503307
1460,-0.066284,56.155811
1470,-0.116943,56.801506
1480,-0.128784,57.280575
1490,-1.719727,57.630291
1500,-1.346436,57.958466
1510,-1.030151,58.236473
1520,-0.814087,58.514114
1530,-1.037476,58.779922
1540,-1.079468,59.057224
1550,-0.636353,59.317982
1560,-0.667114,59.551308
1570,-0.623291,59.777515
1580,-0.592407,59.978771
1590,-0.581421,60.168198
1600,-0.698486,60.343399
1610,-1.142944,60.513927
1620,-1.115967,60.693016
1630,-0.642822,60.876270
1640,-0.254272,60.994087
1650,-0.185425,61.066380
1660,-0.314331,61.128735
1670,-0.340698,61.181824
1680,-0.276489,61.223877
1690,-0.206787,61.254730
1700,-0.152100,61.283264
1710,-0.139282,61.309288
1720,-0.077515,61.311039
1730,-0.041504,61.309723
1740,-0.025391,61.314102
1750,-0.003296,61.311733
1760,0.032959,61.309391
1770,0.037598,61.306824
1780,0.045532,61.304474
1790,0.046509,61.301773
1800,0.057251,61.298042
1810,0.056030,61.293793
1820,0.038574,61.290627
1830,0.045410,61.288929
1840,0.053223,61.287846
1850,0.064087,61.287296
1860,0.047729,61.287361
1870,0.039185,61.288258
1880,0.046509,61.289024
1890,0.039795,61.289070
1900,0.019531,61.289680
1910,0.015747,61.291149
1920,0.026123,61.292500
1930,0.018677,61.293091
1940,0.015747,61.293152
1950,0.011108,61.293232
1960,0.022339,61.292858
1970,0.034058,61.292072
1980,0.038208,61.291199
1990,0.040283,61.290726
2000,0.035645,61.290634
2010,0.034058,61.290550
2020,0.025024,61.290478
2030,0.025391,61.290863
2040,0.021606,61.291271
2050,0.022339,61.291676
2060,0.024658,61.291737
2070,0.031494,61.291763
2080,0.036133,61.291409
2090,0.041138,61.290817
2100,0.040527,61.290176
2110,0.033691,61.289749
2120,0.028442,61.289700
2130,0.022461,61.289879
2140,0.018188,61.2905543
